Column1,Address,Price,Zip Code,Size,Neighbourhood
1571,"5731 SE 50th Ave, Portland, OR 97206",574900,97206,2968,Foster Powell
1572,"6546 SE 64th Ave Unit B, Portland, OR 97206",409950,97206,787,Foster Powell
1573,"6538 SE 64th Ave Unit A, Portland, OR 97206",599950,97206,2140,Foster Powell
1574,"5711 SE Carlton St, Portland, OR 97206",475000,97206,1536,Foster Powell
1578,"5255 SE Lambert St, Portland, OR 97206",514900,97206,2833,Foster Powell
1607,"6031 SE Woodstock Blvd, Portland, OR 97206",499900,97206,1454,Foster Powell
1623,"4305 SE 65th Ave, Portland, OR 97206",399000,97206,980,Foster Powell
1633,"5327 SE Holgate Blvd, Portland, OR 97206",549000,97206,1715,Foster Powell
1644,"6136 SE Lexington St, Portland, OR 97206",385000,97206,868,Foster Powell
1664,"5219 SE 42nd Ave, Portland, OR 97206",380000,97206,1471,Foster Powell
1675,"5709 SE Boise St, Portland, OR 97206",375000,97206,809,Foster Powell
1709,"7417 SE Sherrett St, Portland, OR 97206",419900,97206,1200,Foster Powell
1729,"7300 SE 69th Ave Unit A, Portland, OR 97206",624900,97206,2108,Foster Powell
1738,"5415 SE 51st Ave, Portland, OR 97206",619900,97206,1661,Foster Powell
1755,"6032 SE 47th Ave, Portland, OR 97206",499950,97206,1017,Foster Powell
1765,"7026 SE 69th Ave, Portland, OR 97206",390000,97206,1032,Foster Powell
1769,"2835 SE 78th Ave, Portland, OR 97206",579900,97206,2326,Foster Powell
1773,"4655 SE 46th Ave, Portland, OR 97206",399900,97206,1440,Foster Powell
1775,"5815 SE Holgate Blvd, Portland, OR 97206",649000,97206,2084,Foster Powell
1779,"3217 SE 51st Ave, Portland, OR 97206",499000,97206,1008,Foster Powell
1783,"2702 SE 58th Ave, Portland, OR 97206",535000,97206,2066,Foster Powell
1787,"4455 SE 56th Ave, Portland, OR 97206",530000,97206,1812,Foster Powell
1795,"6521 SE 71st Ave, Portland, OR 97206",350000,97206,1104,Foster Powell
1804,"5415 SE Schiller St, Portland, OR 97206",499900,97206,3054,Foster Powell
1849,"7912 SE Henderson St, Portland, OR 97206",399000,97206,1584,Foster Powell
1855,"3707 SE 60th Ave, Portland, OR 97206",535000,97206,2294,Foster Powell
