,Address,Price,Zip Code,Size,Neighbourhood
298,"1744 SE Umatilla St, Portland, OR 97202",525000,97202,1232,Eastmoreland
343,"7445 SE 32nd Ave, Portland, OR 97202",925000,97202,3184,Eastmoreland
369,"3915 SE Lambert St, Portland, OR 97202",675000,97202,2061,Eastmoreland
375,"1310 SE Rural St, Portland, OR 97202",1075000,97202,2700,Eastmoreland
377,"2610 SE 36th Ave, Portland, OR 97202",930000,97202,2684,Eastmoreland
451,"6420 SE 32nd Ave, Portland, OR 97202",939000,97202,2701,Eastmoreland
456,"3160 SE 24th Ave, Portland, OR 97202",1100000,97202,2668,Eastmoreland
469,"7823 SE 32nd Ave, Portland, OR 97202",749900,97202,2532,Eastmoreland
482,"6340 SE Reed College Pl, Portland, OR 97202",1815000,97202,5843,Eastmoreland
528,"3962 SE Gladstone St, Portland, OR 97202",519900,97202,1620,Eastmoreland
529,"2718 SE 28th Pl, Portland, OR 97202",624999,97202,2078,Eastmoreland
560,"5833 SE 41st Ave Unit B, Portland, OR 97202",524900,97202,873,Eastmoreland
570,"3966 SE Gladstone St, Portland, OR 97202",440000,97202,1201,Eastmoreland
576,"3314 SE 15th Ave, Portland, OR 97202",500000,97202,2061,Eastmoreland
581,"2624 SE 30th Ave, Portland, OR 97202",1150000,97202,2766,Eastmoreland
617,"3724 SE 33rd Pl, Portland, OR 97202",385000,97202,1145,Eastmoreland
628,"6411 SE 32nd Ave, Portland, OR 97202",919900,97202,2825,Eastmoreland
638,"2734 SE 34th Ave, Portland, OR 97202",899900,97202,2609,Eastmoreland
668,"7426 SE 21st Ave, Portland, OR 97202",599900,97202,1218,Eastmoreland
682,"3440 SE Holgate Blvd Unit A, Portland, OR 97202",479900,97202,2000,Eastmoreland
699,"2522 SE 21st Ave, Portland, OR 97202",499995,97202,2292,Eastmoreland
720,"4805 SE Cesar E Chavez Blvd, Portland, OR 97202",430000,97202,1548,Eastmoreland
735,"210 SE Spokane St, Portland, OR 97202",775000,97202,2888,Eastmoreland
765,"1515 SE Rhone St, Portland, OR 97202",525000,97202,2096,Eastmoreland
774,"2726 SE Brooklyn St, Portland, OR 97202",550000,97202,2794,Eastmoreland
831,"4157 SE Brooklyn St, Portland, OR 97202",569000,97202,2210,Eastmoreland
838,"3507 SE 10th Ave, Portland, OR 97202",625000,97202,2514,Eastmoreland
855,"2216 SE Lambert St, Portland, OR 97202",849000,97202,2705,Eastmoreland
861,"3036 SE Cesar E Chavez Blvd, Portland, OR 97202",474899,97202,1633,Eastmoreland
862,"815 SE Clatsop St, Portland, OR 97202",660000,97202,2496,Eastmoreland
863,"2530 SE 26th Ave Apt 306, Portland, OR 97202",719900,97202,1422,Eastmoreland
881,"3917 SE Tibbetts St, Portland, OR 97202",449999,97202,1348,Eastmoreland
906,"2725 SE 22nd Ave, Portland, OR 97202",680000,97202,1467,Eastmoreland
918,"3365 SE Clinton St, Portland, OR 97202",685000,97202,2916,Eastmoreland
928,"4803 SE 33rd Pl, Portland, OR 97202",724900,97202,2292,Eastmoreland
958,"3548 SE Brooklyn St, Portland, OR 97202",549900,97202,1726,Eastmoreland
964,"2139 SE Tibbetts St, Portland, OR 97202",950000,97202,2680,Eastmoreland
975,"4219 SE 25th Ave, Portland, OR 97202",456000,97202,888,Eastmoreland
1009,"7627 SE 32nd Ave, Portland, OR 97202",1275000,97202,3641,Eastmoreland
1039,"260 SE Spokane St, Portland, OR 97202",950000,97202,2591,Eastmoreland
1058,"3323 SE 28th Pl, Portland, OR 97202",659900,97202,1950,Eastmoreland
1061,"3577 SE Woodward St, Portland, OR 97202",699000,97202,2107,Eastmoreland
1063,"3908 SE Steele St, Portland, OR 97202",650000,97202,2608,Eastmoreland
1093,"4634 SE 34th Ave, Portland, OR 97202",495000,97202,2000,Eastmoreland
1121,"7528 SE 36th Ave, Portland, OR 97202",690000,97202,1744,Eastmoreland
1161,"1136 SE Sherrett St, Portland, OR 97202",975757,97202,2598,Eastmoreland
1167,"3702 SE 32nd Ave, Portland, OR 97202",520000,97202,2368,Eastmoreland
1195,"1556 SE Lexington St, Portland, OR 97202",840000,97202,2996,Eastmoreland
1258,"2542 SE 33rd Ave, Portland, OR 97202",599000,97202,2760,Eastmoreland
1277,"3116 SE Cesar E Chavez Blvd, Portland, OR 97202",459900,97202,2149,Eastmoreland
1291,"2837 SE 26th Ave, Portland, OR 97202",789900,97202,2472,Eastmoreland
1315,"2736 SE 20th Ave, Portland, OR 97202",449989,97202,2472,Eastmoreland
1362,"3440 SE Holgate Blvd Unit B, Portland, OR 97202",399900,97202,833,Eastmoreland
1368,"3817 SE Center St, Portland, OR 97202",748000,97202,2284,Eastmoreland
1370,"3705 SE Schiller St, Portland, OR 97202",540000,97202,1488,Eastmoreland
1374,"3441 SE 9th Ave, Portland, OR 97202",475000,97202,1824,Eastmoreland
1383,"7826 SE 31st Ave, Portland, OR 97202",1195000,97202,3888,Eastmoreland
1387,"2835 SE Rex St, Portland, OR 97202",1190000,97202,3568,Eastmoreland
1400,"3726 SE Woodstock Blvd, Portland, OR 97202",649900,97202,2518,Eastmoreland
1436,"3921 SE Boise St Unit 2, Portland, OR 97202",785000,97202,3161,Eastmoreland
1453,"2706 SE 35th Ave, Portland, OR 97202",650000,97202,2248,Eastmoreland
1482,"3900 SE Henry St, Portland, OR 97202",630000,97202,2568,Eastmoreland
1522,"3440 SE Holgate Blvd Unit C, Portland, OR 97202",399900,97202,833,Eastmoreland
1544,"3956 SE Ivon St, Portland, OR 97202",650000,97202,2401,Eastmoreland
1559,"3029 SE Tibbetts St, Portland, OR 97202",425000,97202,763,Eastmoreland
1562,"2723 SE 35th Pl, Portland, OR 97202",899000,97202,3545,Eastmoreland
1564,"1507 SE Knight St, Portland, OR 97202",1025000,97202,2494,Eastmoreland
1591,"8711 SE 19th Ave, Portland, OR 97202",539000,97202,1648,Eastmoreland
1612,"3023 SE Division St Unit 3, Portland, OR 97202",524950,97202,1392,Eastmoreland
1625,"7975 SE 19th Ave, Portland, OR 97202",575000,97202,1040,Eastmoreland
1626,"3641 SE Crystal Springs Blvd, Portland, OR 97202",670000,97202,2432,Eastmoreland
1631,"1916 SE Harold St, Portland, OR 97202",1095000,97202,3620,Eastmoreland
1661,"2530 SE 26th Ave Apt 307, Portland, OR 97202",565000,97202,1121,Eastmoreland
1705,"4135 SE 25th Ave, Portland, OR 97202",449900,97202,1768,Eastmoreland
1750,"3636 SE Steele St, Portland, OR 97202",599000,97202,1628,Eastmoreland
1763,"3456 SE 7th Ave, Portland, OR 97202",499000,97202,1819,Eastmoreland
1793,"2443 SE Ivon St, Portland, OR 97202",1255000,97202,4892,Eastmoreland
1816,"1604 SE Claybourne St, Portland, OR 97202",644900,97202,1425,Eastmoreland
1817,"324 SE Spokane St Unit 2, Portland, OR 97202",1495000,97202,3622,Eastmoreland
1821,"3660 SE Rex St, Portland, OR 97202",674500,97202,2234,Eastmoreland
1837,"3115 SE 20th Ave, Portland, OR 97202",585000,97202,2436,Eastmoreland
1842,"1342 SE Lexington St, Portland, OR 97202",649500,97202,1344,Eastmoreland
1892,"3815 SE Tenino St, Portland, OR 97202",849900,97202,2532,Eastmoreland
2014,"3715 SE 8th Ave, Portland, OR 97202",599900,97202,2920,Eastmoreland
2024,"5133 SE 38th Ave, Portland, OR 97202",589000,97202,2015,Eastmoreland
2038,"2443 SE Clinton St, Portland, OR 97202",1165000,97202,4181,Eastmoreland
2079,"8065 SE Grand Ave Unit 304, Portland, OR 97202",535000,97202,1737,Eastmoreland
2080,"8065 SE Grand Ave Unit 202, Portland, OR 97202",425000,97202,1313,Eastmoreland
2093,"3011 SE Division St Unit 7, Portland, OR 97202",649950,97202,1455,Eastmoreland
2094,"3013 SE Division St Unit 5, Portland, OR 97202",674950,97202,1581,Eastmoreland
2135,"3736 SE Cora St, Portland, OR 97202",599900,97202,2522,Eastmoreland
2169,"790 SE Webber St Unit 401, Portland, OR 97202",565000,97202,2156,Eastmoreland
2172,"1222 SE Division St, Portland, OR 97202",925000,97202,2684,Eastmoreland
2174,"3222 SE 12th Ave, Portland, OR 97202",775000,97202,2427,Eastmoreland
2175,"3220 SE 12th Ave, Portland, OR 97202",775000,97202,2412,Eastmoreland
27,"7235 N Swift St, Portland, OR 97203",335000,97203,1174,Cathedral Park
