Address,Price,Beds,Baths,Sizes
"5420 SE Knapp St, Portland, OR 97206","$649,900 ",3,3,"1,800sqft"
"3937 NE 37th Ave, Portland, OR 97212","$1,395,000 ",5,5,"3,703sqft"
"5424 SE Knapp St, Portland, OR 97206","$649,900 ",3,3,"1,800sqft"
"1751 SE 162nd Ave, Portland, OR 97233","$468,000 ",3,2,"1,934sqft"
"2334 NE 19th Ave, Portland, OR 97212","$929,000 ",3,3,"2,477sqft"
"7136 N Chase Ave, Portland, OR 97217","$799,000 ",4,2,"2,600sqft"
"3004 NE 47th Ave, Portland, OR 97213","$875,000 ",3,2,"3,045sqft"
"2140 SE 104th Dr, Portland, OR 97216","$615,000 ",5,3,"3,284sqft"
"509 NE Mariners Loop, Portland, OR 97211","$499,900 ",4,3,"1,618sqft"
"15584 NW Graf St, Portland, OR 97229","$749,999 ",3,3,"2,342sqft"
"6406 SE 34th Ave, Portland, OR 97202","$1,299,900 ",4,3,"3,802sqft"
"1307 SE 141st Ave, Portland, OR 97233","$424,900 ",3,2,"1,368sqft"
"18124 SE Stephens St, Portland, OR 97233","$349,999 ",3,1,"1,066sqft"
"6231 NE Going St, Portland, OR 97218","$598,000 ",3,3,"1,444sqft"
"1001 NW Lovejoy St Ph 3, Portland, OR 97209","$4,750,000 ",3,4,"3,308sqft"
"841 S Gaines St Unit 1612, Portland, OR 97239","$1,249,000 ",2,3,"2,156sqft"
"6730 SW 60th Ave, Portland, OR 97219","$599,900 ",4,2,"2,176sqft"
"8043 N Hurst Ave, Portland, OR 97203","$460,000 ",3,3,"1,674sqft"
"5002 SW Custer St, Portland, OR 97219","$799,900 ",4,3,"2,050sqft"
"16500 NE Holladay St, Portland, OR 97230","$500,000 ",4,3,"1,708sqft"
"9280 SW 8th Ave, Portland, OR 97219","$675,000 ",4,3,"2,766sqft"
"19006 NE Clackamas St, Gresham, OR 97230","$419,000 ",4,2,"2,001sqft"
"5319 NW 128th Ter, Portland, OR 97229","$835,000 ",4,3,"3,457sqft"
"7725 SE 62nd Ave, Portland, OR 97206","$429,900 ",3,1,966sqft
"6020 SE Bush St, Portland, OR 97206","$1,195,000 ",6,4,"4,036sqft"
"7115 N Fenwick Ave, Portland, OR 97217","$600,000 ",3,2,"1,632sqft"
"6030 NE Simpson St, Portland, OR 97218","$349,900 ",3,1,927sqft
"1218 NW Frazier Ct, Portland, OR 97229","$1,250,000 ",4,3,"3,108sqft"
"9525 NE Gertz Cir, Portland, OR 97211","$309,900 ",2,1,738sqft
"3225 NE 84th Ave, Portland, OR 97220","$489,000 ",3,2,"1,814sqft"
"852 NE Roselawn St, Portland, OR 97211","$625,000 ",3,2,"1,916sqft"
"4420 SW 58th Ave, Portland, OR 97221","$2,179,000 ",4,4,"4,293sqft"
"10424 NW Laidlaw Rd, Portland, OR 97229","$2,349,500 ",4,4,"5,307sqft"
