Address,Price,Beds,Baths,Sizes
"2734 SE 34th Ave, Portland, OR 97202","$899,900 ",5,4,"2,609sqft"
"2300 SE 82nd Ave Unit 11, Portland, OR 97216","$95,000 ",2,1,798sqft
"6310 SE 87th Ave, Portland, OR 97266","$430,000 ",3,2,"1,358sqft"
"17022 SE Juliano Ct, Portland, OR 97236","$360,000 ",3,3,"1,272sqft"
"5003 SE 63rd Ave, Portland, OR 97206","$429,989 ",2,1,"1,224sqft"
"3671 SE 86th Ave, Portland, OR 97266","$475,000 ",2,2,"1,155sqft"
"5618 SE 65th Ave, Portland, OR 97206","$599,900 ",4,3,"2,848sqft"
"3095 SW Arnold St, Portland, OR 97219","$1,365,000 ",5,3,"3,193sqft"
"7250 SW 13th Ave, Portland, OR 97219","$849,000 ",4,3,"3,398sqft"
"121 NE Knott St, Portland, OR 97212","$639,900 ",3,2,"2,304sqft"
"6616 N Montana Ave, Portland, OR 97217","$475,000 ",3,2,"1,368sqft"
"11745 NW Sadie Ln Lot 86, Portland, OR 97229","$1,049,950 ",5,3,"3,058sqft"
"4980 NE 34th Ave, Portland, OR 97211","$654,950 ",3,3,"1,693sqft"
"4345 NE 47th Ave, Portland, OR 97218","$575,000 ",3,2,"1,976sqft"
"5241 E Burnside St, Portland, OR 97215","$639,900 ",3,2,"1,926sqft"
"11621 NE Prescott St, Portland, OR 97220","$519,000 ",4,2,"1,787sqft"
"255 SW Harrison St Apt TH10, Portland, OR 97201","$479,900 ",3,2,"1,184sqft"
"13213 NE Eugene St, Portland, OR 97230","$549,900 ",4,4,"1,771sqft"
"12766 NW Bayonne Ln, Portland, OR 97229","$749,900 ",4,3,"2,532sqft"
"2309 SW 1st Ave Apt 543, Portland, OR 97201","$329,000 ",2,2,"1,332sqft"
"6608 SE Ogden St, Portland, OR 97206","$479,000 ",3,3,"1,534sqft"
"1445 NW Jenne Ave, Portland, OR 97229","$679,000 ",3,3,"1,928sqft"
"11557 SE Taylor St, Portland, OR 97216","$425,000 ",3,3,"1,329sqft"
"550 SW 10th Ave Unit 2102, Portland, OR 97205","$2,275,000 ",2,3,"1,756sqft"
"550 SW 10th Ave Unit 2101, Portland, OR 97205","$3,220,000 ",3,4,"2,611sqft"
"3450 SW 87th Ave, Portland, OR 97225","$793,000 ",4,3,"2,615sqft"
"1612 NE 150th Ave, Portland, OR 97230","$499,950 ",2,2,"1,469sqft"
"7250 SW Canyon Ln, Portland, OR 97225","$589,950 ",2,1,"1,628sqft"
"8450 N Seward Ave, Portland, OR 97217","$539,900 ",3,3,"1,545sqft"
"9420 SW 8th Ave, Portland, OR 97219","$492,999 ",2,1,"1,685sqft"
"7426 SE 21st Ave, Portland, OR 97202","$599,900 ",3,1,"1,218sqft"
"14844 SE Caruthers Ct, Portland, OR 97233","$179,000 ",2,1,956sqft
"2220 SE 146th Ave, Portland, OR 97233","$399,900 ",4,2,"1,494sqft"
"4127 SE 67th Ave, Portland, OR 97206","$398,000 ",3,1,"1,276sqft"
"4206 NE 37th Ave, Portland, OR 97211","$599,900 ",3,2,"1,382sqft"
"8542 N Tyler Ave, Portland, OR 97203","$454,500 ",3,1,"1,892sqft"
"8020 SW 61st Ave, Portland, OR 97219","$530,000 ",3,2,"1,560sqft"
"7124 N Montana Ave, Portland, OR 97217","$624,900 ",4,2,"2,205sqft"
"4649 NE 35th Ave, Portland, OR 97211","$1,050,000 ",4,3,"2,676sqft"
"6802 SW 33rd Pl, Portland, OR 97219","$710,000 ",3,3,"2,320sqft"
"446 NE Cook St, Portland, OR 97212","$349,950 ",2,1,931sqft
"315 NE Morgan St, Portland, OR 97211","$599,500 ",5,3,"2,084sqft"
"8808 SW 51st Ave, Portland, OR 97219","$715,000 ",4,3,"2,004sqft"
"4718 NE 99th Ave, Portland, OR 97220","$350,000 ",3,1,936sqft
"3440 SE Holgate Blvd Unit A, Portland, OR 97202","$479,900 ",6,2,"2,000sqft"
"11953 SE Powell Blvd, Portland, OR 97266","$449,999 ",4,1,"2,663sqft"
"6635 SE Woodstock Blvd, Portland, OR 97206","$425,000 ",2,1,720sqft
"6304 N Mississippi Ave, Portland, OR 97217","$769,000 ",4,2,"2,902sqft"
"4927 NE Holman St, Portland, OR 97218","$375,000 ",2,3,"1,272sqft"
"2680 SW 87th Ave Apt 12, Portland, OR 97225","$230,000 ",2,1,676sqft
"1420 NW 20th Ave Apt 403, Portland, OR 97209","$749,900 ",3,3,"1,539sqft"
"12720 SE Mill St, Portland, OR 97233","$379,990 ",3,2,"1,808sqft"
"14125 NW Germantown Rd, Portland, OR 97231","$5,000,000 ",6,6,"13,000sqft"
"13940 NW Marshall St, Portland, OR 97229","$850,000 ",5,3,"2,894sqft"
"16598 NW Canton St, Portland, OR 97229","$1,035,000 ",5,3,"3,254sqft"
"4911 SE Haig St, Portland, OR 97206","$599,900 ",3,2,"2,679sqft"
"13314 SE Bush St, Portland, OR 97236","$374,900 ",3,2,"1,500sqft"
"1925 NE 118th Ave, Portland, OR 97220","$530,000 ",4,3,"2,062sqft"
"6477 SE 65th Ave, Portland, OR 97206","$624,900 ",3,3,"1,718sqft"
"2633 NE Alameda St, Portland, OR 97212","$1,698,000 ",4,3,"4,647sqft"
"13183 NW Helen Ln, Portland, OR 97229","$1,089,000 ",5,3,"3,080sqft"
"2522 SE 21st Ave, Portland, OR 97202","$499,995 ",3,2,"2,292sqft"
"3846 NE Glisan St, Portland, OR 97232","$1,300,000 ",4,5,"3,724sqft"
"12600 NW Barnes Rd Apt 8, Portland, OR 97229","$249,000 ",2,1,812sqft
"2309 SW 1st Ave Apt 544, Portland, OR 97201","$395,000 ",2,2,"1,497sqft"
"3552 NE Us Grant Pl, Portland, OR 97212","$699,900 ",4,2,"2,408sqft"
"5255 NE 60th Ave, Portland, OR 97218","$489,900 ",5,2,"3,134sqft"
"1539 SE 57th Ave, Portland, OR 97215","$1,125,000 ",4,3,"3,782sqft"
"3450 SW 87th Ave, Portland, OR 97225","$793,000 ",4,3,"2,615sqft"
"6110 SE Tolman St, Portland, OR 97206","$599,000 ",4,2,"2,304sqft"
"14712 SE Duke St, Portland, OR 97236","$699,000 ",4,3,"3,182sqft"
"255 SW California St, Portland, OR 97219","$1,150,000 ",3,3,"3,721sqft"
"1617 NE 19th Ave, Portland, OR 97232","$499,000 ",2,1,"1,909sqft"
"10618 NW 4th Pl, Portland, OR 97231","$599,000 ",4,3,"4,824sqft"
"1525 NE Marine Dr, Portland, OR 97211","$3,250,000 ",5,6,"6,310sqft"
"1025 SW Davenport St, Portland, OR 97201","$2,350,000 ",4,4,"4,359sqft"
"1210 SE Oak St, Portland, OR 97214","$850,000 ",5,3,"2,389sqft"
"7569 N Leavitt Ave, Portland, OR 97203","$410,000 ",3,3,"1,670sqft"
"5021 SW Marigold St, Portland, OR 97219","$450,000 ",3,2,"1,300sqft"
"1715 SE 29th Ave, Portland, OR 97214","$799,900 ",3,2,"2,520sqft"
"1011 NE 69th Ave, Portland, OR 97213","$799,000 ",3,3,"2,304sqft"
"9805 N Clarendon Ave, Portland, OR 97203","$485,000 ",3,1,"1,326sqft"
"419 NE Roth St, Portland, OR 97211","$399,000 ",2,3,"1,572sqft"
"4805 SE Cesar E Chavez Blvd, Portland, OR 97202","$430,000 ",2,1,"1,548sqft"
"5222 NE Alameda St, Portland, OR 97213","$867,530 ",4,3,"3,131sqft"
"1601 N Jarrett St, Portland, OR 97217","$525,000 ",2,2,"2,094sqft"
"4240 SW Freeman St, Portland, OR 97219","$934,900 ",5,3,"2,668sqft"
"4011 SE 65th Ave, Portland, OR 97206","$444,000 ",4,1,"1,984sqft"
"11927 SE Boise St, Portland, OR 97266","$420,000 ",3,2,"1,152sqft"
"3717 SE Washington St, Portland, OR 97214","$484,000 ",2,1,944sqft
"10838 S Southridge Dr, Portland, OR 97219","$1,095,000 ",4,4,"3,821sqft"
"2221 SW 1st Ave Apt 2121, Portland, OR 97201","$389,000 ",2,2,"1,267sqft"
"3004 SE 71st Ave, Portland, OR 97206","$475,000 ",3,2,"1,293sqft"
"14676 SW 148th Ter, Portland, OR 97224","$1,250,000 ",4,3,"3,402sqft"
"2536 SE 67th Ave, Portland, OR 97206","$690,000 ",3,2,"1,704sqft"
"2780 SW Talbot Rd, Portland, OR 97201","$1,699,000 ",4,5,"4,810sqft"
"550 SW 10th Ave Unit 3401, Portland, OR 97205","$7,850,000 ",3,4,"3,966sqft"
"7411 N Bank St, Portland, OR 97203","$450,000 ",3,2,"1,491sqft"
"210 SE Spokane St, Portland, OR 97202","$775,000 ",2,3,"2,888sqft"
"3835 NE Cleveland Ave, Portland, OR 97212","$624,900 ",4,2,"2,316sqft"
"1616 NE 45th Ave Apt 4, Portland, OR 97213","$419,990 ",2,2,"1,026sqft"
"2619 SE 61st Ave, Portland, OR 97206","$525,000 ",2,1,"1,630sqft"
"16050 SE Clay St, Portland, OR 97233","$415,000 ",3,2,"1,072sqft"
"4637 SW Fairhaven Dr, Portland, OR 97221","$799,700 ",4,3,"2,315sqft"
"7169 SE Stark St, Portland, OR 97215","$699,900 ",3,2,"2,395sqft"
"540 NE 125th Ave, Portland, OR 97230","$399,900 ",3,1,"2,288sqft"
"129 SE 61st Ave, Portland, OR 97215","$685,000 ",4,2,"2,420sqft"
"11544 SE Main St, Portland, OR 97216","$399,900 ",3,3,"1,468sqft"
"13035 NW Filbert St, Portland, OR 97229","$500,000 ",3,2,"1,148sqft"
"15812 NE Russell St, Portland, OR 97230","$525,000 ",3,2,"2,023sqft"
"3161 NE 72nd Ave, Portland, OR 97213","$450,000 ",5,1,"1,523sqft"
"3923 SW Vacuna St, Portland, OR 97219","$739,900 ",3,3,"1,884sqft"
"3307 SE Morrison St Unit 25, Portland, OR 97214","$515,000 ",2,3,"1,483sqft"
"1830 NW Riverscape St Apt 503, Portland, OR 97209","$720,000 ",2,3,"1,473sqft"
"5315 NE 41st Ave, Portland, OR 97211","$349,000 ",3,1,936sqft
"3915 NE 17th Ave, Portland, OR 97212","$874,000 ",4,2,"2,959sqft"
"4100 NE Multnomah St, Portland, OR 97232","$789,900 ",4,2,"2,689sqft"
"5604 SE 104th Ave, Portland, OR 97266","$365,000 ",2,2,"1,004sqft"
"7035 SE Windsor Ct, Portland, OR 97206","$824,000 ",5,4,"3,192sqft"
"6225 N Amherst St, Portland, OR 97203","$625,000 ",3,3,"1,416sqft"
"7385 NW Catalpa St, Portland, OR 97229","$1,031,095 ",4,4,"3,358sqft"
"5520 SE 119th Ave, Portland, OR 97266","$359,900 ",2,1,768sqft
"636 N Lombard St, Portland, OR 97217","$350,000 ",3,1,914sqft
"6400 SW Range Ter, Portland, OR 97223","$850,000 ",5,3,"2,791sqft"
"461 SE 72nd Ave, Portland, OR 97215","$899,000 ",4,3,"2,407sqft"
"18001 NE Davis St, Portland, OR 97230","$410,000 ",3,2,"1,732sqft"
"5829 SE Carlton St, Portland, OR 97206","$489,000 ",3,2,"1,450sqft"
"5815 NE 30th Ave, Portland, OR 97211","$575,000 ",3,2,"2,188sqft"
"1515 SE Rhone St, Portland, OR 97202","$525,000 ",2,1,"2,096sqft"
"1510 SE 57th Ave, Portland, OR 97215","$725,000 ",5,3,"4,893sqft"
"10831 NE Oregon St, Portland, OR 97220","$589,900 ",4,4,"2,608sqft"
"4142 SW Hillside Dr, Portland, OR 97221","$799,900 ",3,3,"2,530sqft"
"2811 SW Stanley Ct, Portland, OR 97219","$819,000 ",4,3,"2,999sqft"
"8125 SW Canyon Rd, Portland, OR 97225","$779,000 ",4,3,"2,672sqft"
"6706 N Richmond Ave, Portland, OR 97203","$325,000 ",2,2,"1,147sqft"
"437 NE Roth St, Portland, OR 97211","$415,000 ",2,3,"1,572sqft"
"5945 NW Saltzman Rd, Portland, OR 97210","$274,900 ",2,2,"1,308sqft"
"2726 SE Brooklyn St, Portland, OR 97202","$550,000 ",4,2,"2,794sqft"
"1815 SW 16th Ave Apt 401, Portland, OR 97201","$620,000 ",3,3,"1,652sqft"
"3570 S River Pkwy Unit 1001, Portland, OR 97239","$939,999 ",2,2,"1,831sqft"
"6688 NW Lolo Ter, Portland, OR 97229","$899,950 ",4,4,"2,736sqft"
"1766 NE 17th Ave, Portland, OR 97212","$759,000 ",2,4,"2,293sqft"
"610 S Nevada St Apt H, Portland, OR 97219","$429,000 ",2,3,"1,314sqft"
"731 SW Bancroft Ter, Portland, OR 97239","$1,299,900 ",4,4,"3,600sqft"
"13523 SE Mall St, Portland, OR 97236","$649,900 ",4,3,"2,423sqft"
"149 N Hayden Bay Dr, Portland, OR 97217","$335,000 ",2,2,"1,023sqft"
"7435 SE Henderson St, Portland, OR 97206","$699,900 ",4,3,"2,425sqft"
"710 N Buffalo St, Portland, OR 97217","$475,000 ",3,2,"1,043sqft"
"7100 SW Sharon Ln, Portland, OR 97225","$899,900 ",4,3,"3,004sqft"
"10607 NW 4th Pl, Portland, OR 97231","$624,900 ",4,3,"3,054sqft"
"2616 NE 7th Ave, Portland, OR 97212","$479,000 ",2,1,"1,664sqft"
"3243 NE 77th Ave, Portland, OR 97213","$585,000 ",3,1,"2,212sqft"
"1514 NE 48th Ave, Portland, OR 97213","$674,900 ",4,2,"2,370sqft"
"7215 NE 8th Ave, Portland, OR 97211","$479,900 ",3,2,"1,560sqft"
"7234 SE Yamhill St, Portland, OR 97215","$469,000 ",2,1,"2,078sqft"
"4026 SE Caruthers St, Portland, OR 97214","$639,000 ",3,2,"1,816sqft"
"400 NE 79th Ave, Portland, OR 97213","$379,500 ",2,1,622sqft
"1180 SW 60th Ave, Portland, OR 97221","$1,399,900 ",6,4,"3,393sqft"
"5940 SE 138th Pl, Portland, OR 97236","$365,000 ",2,1,920sqft
"6549 SE 64th Ave, Portland, OR 97206","$459,000 ",3,3,"1,671sqft"
"7048 SW Raz Ct, Portland, OR 97223","$899,900 ",4,3,"2,652sqft"
"3543 SE 64th Ave, Portland, OR 97206","$499,950 ",4,2,"1,718sqft"
"2007 NE 152nd Ct, Portland, OR 97230","$440,000 ",2,2,"1,290sqft"
"2616 SE 109th Ave, Portland, OR 97266","$374,950 ",3,2,"1,834sqft"
"2735 SE 50th Ave, Portland, OR 97206","$399,000 ",2,1,"1,132sqft"
"3127 SW Champlain Dr, Portland, OR 97205","$1,200,000 ",5,4,"3,794sqft"
"3645 N Albina Ave, Portland, OR 97227","$799,900 ",4,2,"2,680sqft"
"1500 SW 5th Ave Unit 906, Portland, OR 97201","$399,900 ",2,2,"1,319sqft"
"12851 SE Stark St, Portland, OR 97233","$185,000 ",2,2,"1,003sqft"
"5705 SE Malden St, Portland, OR 97206","$375,000 ",2,1,"1,206sqft"
"4405 SW Tunnelwood St, Portland, OR 97221","$1,100,000 ",5,3,"2,975sqft"
"1500 SW 11th Ave Unit 1504, Portland, OR 97201","$779,900 ",2,3,"1,248sqft"
"10815 SW Berkshire St, Portland, OR 97225","$1,100,000 ",3,4,"2,550sqft"
"244 NE Buffalo St, Portland, OR 97211","$570,000 ",3,2,"1,764sqft"
"255 NE 106th Ave, Portland, OR 97220","$499,000 ",4,3,"2,150sqft"
"6522 SE Ramona St, Portland, OR 97206","$499,900 ",4,2,"2,867sqft"
"18535 NE Everett Ct, Portland, OR 97230","$374,900 ",3,1,"1,272sqft"
"4729 SW Humphrey Park Rd, Portland, OR 97221","$1,450,000 ",4,4,"4,596sqft"
"8515 SE 89th Ave, Portland, OR 97266","$424,900 ",3,3,"1,561sqft"
"2817 SW Hillsboro St, Portland, OR 97239","$1,475,000 ",4,4,"3,506sqft"
"2814 NE Schuyler St, Portland, OR 97212","$1,099,000 ",5,4,"2,819sqft"
"922 NW 11th Ave Apt 914, Portland, OR 97209","$450,000 ",2,2,"1,025sqft"
"9193 NW Germantown Rd Unit 23, Portland, OR 97231","$375,000 ",2,3,"2,323sqft"
"4229 N Albina Ave, Portland, OR 97217","$499,000 ",3,1,"2,274sqft"
"8007 SW Mapleleaf St, Portland, OR 97223","$399,900 ",2,1,"1,212sqft"
"2806 NE 12th Ave, Portland, OR 97212","$1,195,000 ",4,4,"3,196sqft"
"17520 SE Marie Model St Unit Park, Portland, OR 97236","$68,800 ",2,1,396sqft
"7320 SW Canyon Ln, Portland, OR 97225","$699,900 ",3,2,"3,129sqft"
"1015 NW Ashcreek Ln, Portland, OR 97229","$2,495,000 ",5,5,"4,956sqft"
"2808 SW Patton Ln, Portland, OR 97201","$2,600,000 ",4,4,"4,350sqft"
"13838 SE Raymond St, Portland, OR 97236","$579,900 ",3,2,"1,899sqft"
"3320 NE 132nd Ave, Portland, OR 97230","$549,000 ",3,2,"2,489sqft"
"10426 NW Brittney Ct, Portland, OR 97229","$825,000 ",3,4,"2,980sqft"
"2021 SW Main St Unit 63, Portland, OR 97205","$379,000 ",2,2,"1,026sqft"
"4157 SE Brooklyn St, Portland, OR 97202","$569,000 ",3,2,"2,210sqft"
"4803 SE Powell Butte Pkwy, Portland, OR 97236","$468,000 ",3,2,"1,416sqft"
"4135 NW Devoto Ln, Portland, OR 97229","$1,525,000 ",4,4,"5,099sqft"
"6911 SE Cora St, Portland, OR 97206","$394,000 ",2,1,"1,436sqft"
"3135 NE 77th Ave, Portland, OR 97213","$635,000 ",3,2,"2,160sqft"
"1135 NE Holland St, Portland, OR 97211","$439,950 ",3,1,936sqft
"1761 NE Clackamas St, Portland, OR 97232","$325,000 ",3,2,"1,151sqft"
"3507 SE 10th Ave, Portland, OR 97202","$625,000 ",4,1,"2,514sqft"
"711 SW Caldew Dr, Portland, OR 97219","$645,000 ",4,2,"2,226sqft"
"4815 N Kerby Ave Unit B, Portland, OR 97217","$524,900 ",2,2,873sqft
"6336 NE 33rd Ave Unit A, Portland, OR 97211","$615,000 ",3,3,"1,528sqft"
"137 SE 52nd Ave, Portland, OR 97215","$395,000 ",2,1,"1,082sqft"
"9121 SE Reedway St, Portland, OR 97266","$389,000 ",2,1,753sqft
"1960 SW Vista Ave, Portland, OR 97201","$1,980,000 ",4,5,"6,526sqft"
"1721 NE 80th Ave, Portland, OR 97213","$474,900 ",3,3,"1,698sqft"
"1778 NW Larkin Ter Lot 6, Portland, OR 97229","$999,950 ",5,4,"3,100sqft"
"4852 SE 92nd Ave, Portland, OR 97266","$260,000 ",2,2,"1,020sqft"
"6429 N Commercial Ave, Portland, OR 97217","$879,000 ",4,2,"2,932sqft"
"11703 SE Flavel St, Portland, OR 97266","$499,900 ",4,4,"3,202sqft"
"535 NE Stanton St, Portland, OR 97212","$580,000 ",2,2,"2,216sqft"
"6529 SE 58th Ave, Portland, OR 97206","$499,000 ",4,2,"1,755sqft"
"1748 NW Miller Hill Pl, Portland, OR 97229","$415,000 ",2,2,"1,501sqft"
"1001 NW Lovejoy St Unit TH103, Portland, OR 97209","$699,000 ",2,2,"1,667sqft"
"4424 NW Barnes Rd, Portland, OR 97210","$350,000 ",2,2,"1,040sqft"
"2216 SE Lambert St, Portland, OR 97202","$849,000 ",3,4,"2,705sqft"
"8150 SE 138th Dr, Portland, OR 97236","$675,000 ",5,3,"3,202sqft"
"6206 SE 77th Ave Unit A, Portland, OR 97206","$329,900 ",2,1,702sqft
"5035 NE Simpson St, Portland, OR 97218","$599,900 ",2,2,"2,168sqft"
"8601 NE Pacific St, Portland, OR 97220","$539,900 ",4,2,"1,628sqft"
"5325 NE 74th Ave, Portland, OR 97218","$388,000 ",2,1,"1,098sqft"
"3036 SE Cesar E Chavez Blvd, Portland, OR 97202","$474,899 ",3,1,"1,633sqft"
"815 SE Clatsop St, Portland, OR 97202","$660,000 ",3,1,"2,496sqft"
"2530 SE 26th Ave Apt 306, Portland, OR 97202","$719,900 ",2,2,"1,422sqft"
"6022 NE 45th Ave, Portland, OR 97218","$874,000 ",3,4,"3,216sqft"
"4715 NE 18th Ave, Portland, OR 97211","$779,000 ",3,2,"2,576sqft"
"8004 N Haven Ave, Portland, OR 97203","$449,900 ",3,1,"1,100sqft"
"1125 NE Lenore St, Portland, OR 97211","$769,000 ",4,2,"2,098sqft"
"14323 SE Bush St, Portland, OR 97236","$365,000 ",3,1,"1,200sqft"
"843 SW Broadway Dr Apt 61, Portland, OR 97201","$300,000 ",3,2,"1,054sqft"
"12586 NW Majestic Sequoia Way, Portland, OR 97229","$2,285,000 ",4,5,"5,025sqft"
"3825 SW Jerald Ct, Portland, OR 97221","$1,995,000 ",4,4,"4,740sqft"
"3302 SW Marigold St, Portland, OR 97219","$569,000 ",5,3,"2,240sqft"
"4112 SW Greenhills Way, Portland, OR 97221","$3,725,000 ",5,7,"4,921sqft"
"9715 N Edison St, Portland, OR 97203","$429,000 ",2,2,"1,104sqft"
"1610 NE 138th Pl, Portland, OR 97230","$499,000 ",4,2,"1,804sqft"
"3830 SE 68th Ave, Portland, OR 97206","$425,000 ",2,2,"1,107sqft"
"150 N Buffalo St, Portland, OR 97217","$535,000 ",2,3,"1,370sqft"
"9131 N Westanna Ct, Portland, OR 97203","$550,000 ",3,2,"1,350sqft"
"15808 NE Sacramento St, Portland, OR 97230","$415,000 ",2,2,"1,014sqft"
"4030 SE 73rd Ave, Portland, OR 97206","$359,000 ",3,2,"1,420sqft"
"3917 SE Tibbetts St, Portland, OR 97202","$449,999 ",2,1,"1,348sqft"
"3106 SE 85th Ave, Portland, OR 97266","$315,000 ",4,1,"1,472sqft"
"23586 NW St Helens Rd Unit U76, Portland, OR 97231","$380,000 ",2,1,"1,012sqft"
"3503 SW Gale Ave, Portland, OR 97239","$1,049,000 ",3,4,"3,050sqft"
"4211 NE 134th Ave, Portland, OR 97230","$329,000 ",3,1,"1,008sqft"
"1723 NE 125th Ave, Portland, OR 97230","$359,900 ",2,2,"1,268sqft"
"2756 SW Montgomery Dr, Portland, OR 97201","$995,000 ",5,4,"2,883sqft"
"1404 SE 148th Ave, Portland, OR 97233","$365,000 ",3,1,"1,506sqft"
"1075 NW Northrup St Unit 2217, Portland, OR 97209","$1,825,000 ",2,3,"1,681sqft"
"9004 N Oswego Ave, Portland, OR 97203","$419,000 ",2,2,"1,136sqft"
"9220 SE Salmon St, Portland, OR 97216","$575,000 ",5,4,"2,695sqft"
"3015 SE 169th Ave, Portland, OR 97236","$483,000 ",4,2,"2,401sqft"
"9232 SW 5th Ave, Portland, OR 97219","$659,950 ",3,3,"2,370sqft"
"4941 SE 74th Ave, Portland, OR 97206","$439,000 ",3,1,"1,888sqft"
"11737 NE Thompson St, Portland, OR 97220","$449,900 ",4,2,"1,682sqft"
"3261 NE 88th Ave, Portland, OR 97220","$389,900 ",2,1,906sqft
"2527 NW Marsden Pl, Portland, OR 97229","$749,900 ",3,3,"2,649sqft"
"8325 N Bliss St, Portland, OR 97203","$415,000 ",2,1,944sqft
"2720 SE 49th Ave, Portland, OR 97206","$725,000 ",3,3,"2,146sqft"
"3813 SE 67th Ave, Portland, OR 97206","$550,000 ",3,2,"2,031sqft"
"1310 NW Naito Pkwy Unit 808, Portland, OR 97209","$699,000 ",2,3,"1,607sqft"
"10666 S Hedlund Ave, Portland, OR 97219","$799,000 ",3,2,"1,850sqft"
"7226 N Greenwich Ave, Portland, OR 97217","$529,000 ",3,2,"2,015sqft"
"2828 SE 59th Ave, Portland, OR 97206","$485,000 ",2,1,"1,655sqft"
"4226 NE Hoyt St, Portland, OR 97213","$639,000 ",3,1,"2,100sqft"
"2725 SE 22nd Ave, Portland, OR 97202","$680,000 ",3,3,"1,467sqft"
"6306 SE 44th Ave, Portland, OR 97206","$850,000 ",5,3,"2,755sqft"
"6560 NE Durham Ave, Portland, OR 97211","$655,000 ",4,3,"1,955sqft"
"5428 SE Washington St, Portland, OR 97215","$774,900 ",3,3,"2,438sqft"
"1742 NE 60th Ave, Portland, OR 97213","$850,000 ",5,3,"3,040sqft"
"3340 SW 98th Ave, Portland, OR 97225","$949,000 ",3,2,"2,622sqft"
"5890 SW Salmon St, Portland, OR 97221","$1,299,900 ",5,4,"2,880sqft"
"4280 S Corbett Ave Unit 203, Portland, OR 97239","$599,900 ",2,2,"1,493sqft"
"82 NE 188th Ave, Portland, OR 97230","$499,950 ",3,3,"2,008sqft"
"3529 SE 136th Ave, Portland, OR 97236","$630,000 ",4,3,"2,695sqft"
"2327 NW Northrup St Apt 7, Portland, OR 97210","$1,095,000 ",3,4,"2,972sqft"
"SW Miles Ct, Portland, OR 97219","$999,900 ",4,3,"2,737sqft"
"3365 SE Clinton St, Portland, OR 97202","$685,000 ",4,1,"2,916sqft"
"2955 SW Fairview Blvd, Portland, OR 97205","$1,499,000 ",5,4,"3,000sqft"
"246 NW 110th Ave, Portland, OR 97229","$1,025,000 ",3,3,"3,206sqft"
"601 NE 74th Ave, Portland, OR 97213","$449,900 ",3,3,"1,525sqft"
"2533 NW Marshall St Apt 104, Portland, OR 97210","$329,000 ",2,1,752sqft
"6227 N Wilbur Ave, Portland, OR 97217","$869,000 ",4,3,"3,474sqft"
"2931 NW Verde Vista Ter, Portland, OR 97210","$1,529,000 ",4,3,"2,779sqft"
"3119 N Kilpatrick St, Portland, OR 97217","$529,900 ",4,2,"1,846sqft"
"2905 SW Comus St, Portland, OR 97219","$998,000 ",4,3,"3,355sqft"
"4915 NE Cleveland Ave, Portland, OR 97211","$449,900 ",3,1,"1,518sqft"
"4803 SE 33rd Pl, Portland, OR 97202","$724,900 ",3,2,"2,292sqft"
"6881 SE Alberta Ave, Portland, OR 97206","$409,999 ",3,2,966sqft
"8907 NE Fremont St, Portland, OR 97220","$399,000 ",2,1,888sqft
"1834 NE Prescott St, Portland, OR 97211","$639,900 ",4,2,"2,740sqft"
"2535 SE 119th Ave Unit 6, Portland, OR 97266","$195,000 ",2,1,830sqft
"7014 N Wellesley Ave, Portland, OR 97203","$599,000 ",4,3,"2,322sqft"
"4748 SE 111th Ave, Portland, OR 97266","$550,000 ",3,3,"1,960sqft"
"18659 NE Multnomah Ter, Portland, OR 97230","$449,950 ",3,3,"1,720sqft"
"9333 N Lombard St Apt 9, Portland, OR 97203","$239,999 ",2,1,717sqft
"1465 NE Going St, Portland, OR 97211","$895,000 ",4,3,"2,798sqft"
"528 NE Roselawn St, Portland, OR 97211","$435,000 ",3,3,"1,748sqft"
"707 N Hayden Island Dr Unit 203, Portland, OR 97217","$499,000 ",2,2,"1,798sqft"
"2224 SE 158th Ave, Portland, OR 97233","$430,000 ",4,2,"1,638sqft"
"8530 E Burnside St, Portland, OR 97216","$429,900 ",3,1,"2,379sqft"
"9053 NE Halsey St, Portland, OR 97220","$549,000 ",5,3,"2,721sqft"
"2738 SE 138th Ave Apt 118, Portland, OR 97236","$209,000 ",2,1,814sqft
"2446 SE 76th Ave Unit 1, Portland, OR 97206","$400,000 ",2,1,"1,603sqft"
"4118 SE 76th Ave, Portland, OR 97206","$425,000 ",3,2,"1,056sqft"
"7106 N Armour St, Portland, OR 97203","$460,000 ",3,1,992sqft
"12642 SE Foster Rd Apt A, Portland, OR 97236","$314,900 ",3,2,"1,330sqft"
"3834 NE 145th Ave, Portland, OR 97230","$438,800 ",3,2,"1,842sqft"
"1612 NE Saratoga St, Portland, OR 97211","$599,900 ",3,3,"2,027sqft"
"7735 N Edison St, Portland, OR 97203","$600,000 ",3,2,"1,959sqft"
"2659 NW Kennedy Ct, Portland, OR 97229","$479,900 ",3,3,"1,680sqft"
"1550 N Sumner St, Portland, OR 97217","$799,900 ",4,3,"2,348sqft"
"7720 S Macadam Ave, Portland, OR 97219","$874,500 ",3,2,"1,860sqft"
"2009 NE 91st Ave, Portland, OR 97220","$469,900 ",3,2,"1,428sqft"
"7835 N Wabash Ave, Portland, OR 97217","$499,900 ",3,1,"1,815sqft"
"3505 SW Dosch Rd, Portland, OR 97239","$1,089,000 ",3,3,"3,147sqft"
"1525 SE Madison St, Portland, OR 97214","$749,000 ",5,2,"3,940sqft"
