,Neighborhood,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY
15094,Goose Hollow,Theft From Motor Vehicle,45.51639388,-122.6915711,7640409.0,681983.0
15095,Goose Hollow,Theft of Motor Vehicle Parts or Accessories,45.51639388,-122.6915711,7640409.0,681983.0
15096,Goose Hollow,Vandalism,45.51639388,-122.6915711,7640409.0,681983.0
15097,Goose Hollow,Theft From Building,45.51713461,-122.6911431,7640526.0,682250.0
15098,Goose Hollow,Theft From Building,45.51713461,-122.6911431,7640526.0,682250.0
15099,Hillsdale,Theft From Motor Vehicle,45.46687974,-122.694649,7639130.0,663958.0
15100,Southwest Hills,Theft From Motor Vehicle,45.50706241,-122.6966076,7639026.0,678617.0
15101,Goose Hollow,Motor Vehicle Theft,45.5176365,-122.6908658,7640602.0,682431.0
15102,Marshall Park,False Pretenses/Swindle/Confidence Game,45.4518233,-122.6948747,7638923.0,658472.0
15103,Goose Hollow,Theft of Motor Vehicle Parts or Accessories,45.51586433,-122.6920034,7640293.0,681793.0
15104,Goose Hollow,All Other Larceny,45.51481904,-122.6955924,7639363.0,681437.0
15105,Goose Hollow,Theft From Motor Vehicle,45.51481904,-122.6955924,7639363.0,681437.0
15106,Goose Hollow,Theft From Motor Vehicle,45.51481904,-122.6955924,7639363.0,681437.0
15107,Goose Hollow,Burglary,45.52171995,-122.688662,7641207.0,683904.0
15108,Goose Hollow,Theft From Motor Vehicle,45.52180035,-122.6886183,7641219.0,683933.0
15109,Downtown,Burglary,45.51130135,-122.6759955,7644350.0,680019.0
15110,Downtown,Vandalism,45.51130135,-122.6759955,7644350.0,680019.0
15111,Downtown,Burglary,45.51130135,-122.6759955,7644350.0,680019.0
15112,Downtown,Theft of Motor Vehicle Parts or Accessories,45.51343191,-122.6845923,7642168.0,680855.0
15113,Goose Hollow,Arson,45.51972388,-122.6897443,7640910.0,683184.0
15114,Goose Hollow,Burglary,45.51972388,-122.6897443,7640910.0,683184.0
15115,Goose Hollow,Vandalism,45.51972388,-122.6897443,7640910.0,683184.0
15116,Goose Hollow,Motor Vehicle Theft,45.51972388,-122.6897443,7640910.0,683184.0
15117,Goose Hollow,Vandalism,45.51972388,-122.6897443,7640910.0,683184.0
15118,Goose Hollow,Arson,45.51972388,-122.6897443,7640910.0,683184.0
15119,Goose Hollow,Theft From Building,45.51972388,-122.6897443,7640910.0,683184.0
15120,Goose Hollow,Theft From Motor Vehicle,45.51972388,-122.6897443,7640910.0,683184.0
15121,Goose Hollow,Theft of Motor Vehicle Parts or Accessories,45.52038649,-122.6893834,7641009.0,683423.0
15122,Hillsdale,Motor Vehicle Theft,45.46836477,-122.6954745,7638933.0,664505.0
15123,Sylvan-Highlands,Theft From Motor Vehicle,45.51134371,-122.7269034,7631305.0,680390.0
15124,Goose Hollow,Burglary,45.52113499,-122.6889791,7641120.0,683693.0
15125,Goose Hollow,Theft From Motor Vehicle,45.52113499,-122.6889791,7641120.0,683693.0
15126,Goose Hollow,Theft From Motor Vehicle,45.52113499,-122.6889791,7641120.0,683693.0
15127,Goose Hollow,Identity Theft,45.52113499,-122.6889791,7641120.0,683693.0
15128,Goose Hollow,Theft From Motor Vehicle,45.52113499,-122.6889791,7641120.0,683693.0
15129,Goose Hollow,All Other Larceny,45.52113499,-122.6889791,7641120.0,683693.0
15130,Goose Hollow,Theft From Motor Vehicle,45.52113499,-122.6889791,7641120.0,683693.0
15131,Goose Hollow,Vandalism,45.52113499,-122.6889791,7641120.0,683693.0
15132,Northwest,Motor Vehicle Theft,45.52294796,-122.6878585,7641425.0,684346.0
15133,Northwest,Motor Vehicle Theft,45.52294796,-122.6878585,7641425.0,684346.0
15134,Northwest,Motor Vehicle Theft,45.52294796,-122.6878585,7641425.0,684346.0
15135,Northwest,False Pretenses/Swindle/Confidence Game,45.52294796,-122.6878585,7641425.0,684346.0
15136,Northwest,Motor Vehicle Theft,45.52294796,-122.6878585,7641425.0,684346.0
15137,Buckman East,Burglary,45.52284619,-122.6480272,7651629.0,684035.0
15138,Buckman East,Burglary,45.52284619,-122.6480272,7651629.0,684035.0
15139,Buckman East,Burglary,45.52284619,-122.6480272,7651629.0,684035.0
15140,Overlook,Motor Vehicle Theft,45.56628295,-122.6851782,7642539.0,700122.0
15141,Arbor Lodge,Motor Vehicle Theft,45.56637076,-122.6851777,7642540.0,700154.0
15142,Overlook,Motor Vehicle Theft,45.56343713,-122.6852131,7642502.0,699085.0
15143,Overlook,Motor Vehicle Theft,45.56120847,-122.6852562,7642469.0,698273.0
15144,Kenton,Burglary,45.57887336,-122.6843193,7642883.0,704705.0
15145,Kenton,Burglary,45.57887336,-122.6843193,7642883.0,704705.0
15146,Kenton,Theft of Motor Vehicle Parts or Accessories,45.57878556,-122.6843198,7642882.0,704673.0
15147,Eliot,Theft From Motor Vehicle,45.53537248,-122.6686886,7646458.0,688742.0
15148,Overlook,Burglary,45.55633108,-122.6855019,7642358.0,696497.0
15149,Overlook,All Other Larceny,45.55641889,-122.6855013,7642359.0,696529.0
15150,Overlook,Burglary,45.55597178,-122.6853513,7642393.0,696365.0
15151,Arbor Lodge,Motor Vehicle Theft,45.56909225,-122.6846106,7642712.0,701142.0
15152,Overlook,Burglary,45.55835731,-122.6852831,7642434.0,697234.0
15153,Overlook,Motor Vehicle Theft,45.55835731,-122.6852831,7642434.0,697234.0
15154,Overlook,Theft From Building,45.55835731,-122.6852831,7642434.0,697234.0
15155,Hayden Island,Motor Vehicle Theft,45.61068949,-122.6857055,7642842.0,716311.0
15156,Hayden Island,Motor Vehicle Theft,45.61020906,-122.6847097,7643092.0,716129.0
15157,Hayden Island,Theft From Motor Vehicle,45.61068949,-122.6857055,7642842.0,716311.0
15158,Overlook,Vandalism,45.56477631,-122.6851983,7642519.0,699573.0
15159,Overlook,All Other Larceny,45.56406282,-122.685206,7642510.0,699313.0
15160,Arbor Lodge,All Other Larceny,45.57707885,-122.6844729,7642826.0,704052.0
15161,Overlook,Motor Vehicle Theft,45.56557494,-122.6851861,7642530.0,699864.0
15162,Overlook,Vandalism,45.56548706,-122.6851905,7642528.0,699832.0
15163,Overlook,False Pretenses/Swindle/Confidence Game,45.56557494,-122.6851861,7642530.0,699864.0
15164,Kenton,All Other Larceny,45.57958671,-122.6843194,7642890.0,704965.0
15165,Hayden Island,Vandalism,45.61310708,-122.6848136,7643094.0,717186.0
15166,Hayden Island,Motor Vehicle Theft,45.61304232,-122.684901,7643071.0,717163.0
15167,Hayden Island,Motor Vehicle Theft,45.61304232,-122.684901,7643071.0,717163.0
15168,Hayden Island,Credit Card/ATM Fraud,45.61304232,-122.684901,7643071.0,717163.0
15169,Hayden Island,Robbery,45.61304232,-122.684901,7643071.0,717163.0
15170,Hayden Island,Purse-Snatching,45.61304232,-122.684901,7643071.0,717163.0
15171,Hayden Island,Vandalism,45.61304232,-122.684901,7643071.0,717163.0
15172,Hayden Island,Motor Vehicle Theft,45.61304232,-122.684901,7643071.0,717163.0
15173,Hayden Island,Motor Vehicle Theft,45.61304232,-122.684901,7643071.0,717163.0
15174,Hayden Island,All Other Larceny,45.61310708,-122.6848136,7643094.0,717186.0
15175,Hayden Island,Motor Vehicle Theft,45.61304232,-122.684901,7643071.0,717163.0
15176,Hayden Island,Purse-Snatching,45.61304232,-122.684901,7643071.0,717163.0
15177,Hayden Island,Motor Vehicle Theft,45.61304232,-122.684901,7643071.0,717163.0
15178,Hayden Island,Motor Vehicle Theft,45.61304232,-122.684901,7643071.0,717163.0
15179,Hayden Island,Motor Vehicle Theft,45.61304232,-122.684901,7643071.0,717163.0
15180,Hayden Island,Motor Vehicle Theft,45.61304232,-122.684901,7643071.0,717163.0
15181,Hayden Island,Motor Vehicle Theft,45.61304232,-122.684901,7643071.0,717163.0
15182,Hayden Island,Motor Vehicle Theft,45.61304232,-122.684901,7643071.0,717163.0
15183,Hayden Island,All Other Larceny,45.61304232,-122.684901,7643071.0,717163.0
15184,Hayden Island,Theft From Motor Vehicle,45.61304232,-122.684901,7643071.0,717163.0
15185,Hayden Island,All Other Larceny,45.61304232,-122.684901,7643071.0,717163.0
15186,Hayden Island,Motor Vehicle Theft,45.61304232,-122.684901,7643071.0,717163.0
15187,Hayden Island,Burglary,45.61304232,-122.684901,7643071.0,717163.0
15188,Hayden Island,Motor Vehicle Theft,45.61304232,-122.684901,7643071.0,717163.0
15189,Hayden Island,Theft From Motor Vehicle,45.61310708,-122.6848136,7643094.0,717186.0
15190,Hayden Island,Motor Vehicle Theft,45.61304232,-122.684901,7643071.0,717163.0
15191,Hayden Island,Shoplifting,45.61304232,-122.684901,7643071.0,717163.0
15192,Hayden Island,Shoplifting,45.61304232,-122.684901,7643071.0,717163.0
15193,Hayden Island,Shoplifting,45.61304232,-122.684901,7643071.0,717163.0
15194,Hayden Island,Simple Assault,45.61310708,-122.6848136,7643094.0,717186.0
15195,Hayden Island,Counterfeiting/Forgery,45.61304232,-122.684901,7643071.0,717163.0
15196,Hayden Island,Robbery,45.61304232,-122.684901,7643071.0,717163.0
15197,Hayden Island,Motor Vehicle Theft,45.61304232,-122.684901,7643071.0,717163.0
15198,Hayden Island,All Other Larceny,45.61304232,-122.684901,7643071.0,717163.0
15199,Hayden Island,Motor Vehicle Theft,45.61304232,-122.684901,7643071.0,717163.0
15200,Hayden Island,Credit Card/ATM Fraud,45.61304232,-122.684901,7643071.0,717163.0
15201,Hayden Island,Credit Card/ATM Fraud,45.61304232,-122.684901,7643071.0,717163.0
15202,Hayden Island,Credit Card/ATM Fraud,45.61310708,-122.6848136,7643094.0,717186.0
15203,Hayden Island,Credit Card/ATM Fraud,45.61304232,-122.684901,7643071.0,717163.0
15204,Hayden Island,Theft From Motor Vehicle,45.61304232,-122.684901,7643071.0,717163.0
15205,Hayden Island,Theft of Motor Vehicle Parts or Accessories,45.61304232,-122.684901,7643071.0,717163.0
15206,Hayden Island,Vandalism,45.61304232,-122.684901,7643071.0,717163.0
15207,Hayden Island,Vandalism,45.61304232,-122.684901,7643071.0,717163.0
15208,Hayden Island,Shoplifting,45.61310708,-122.6848136,7643094.0,717186.0
15209,Hayden Island,Theft From Motor Vehicle,45.61304232,-122.684901,7643071.0,717163.0
15210,Hayden Island,Vandalism,45.61304232,-122.684901,7643071.0,717163.0
15211,Hayden Island,Shoplifting,45.61310708,-122.6848136,7643094.0,717186.0
15212,Hayden Island,Shoplifting,45.61310708,-122.6848136,7643094.0,717186.0
15213,Hayden Island,Theft From Motor Vehicle,45.61304232,-122.684901,7643071.0,717163.0
15214,Hayden Island,Vandalism,45.61304232,-122.684901,7643071.0,717163.0
15215,Hayden Island,Theft From Motor Vehicle,45.61304232,-122.684901,7643071.0,717163.0
15216,Hayden Island,Shoplifting,45.61310708,-122.6848136,7643094.0,717186.0
15217,Hayden Island,Shoplifting,45.61310708,-122.6848136,7643094.0,717186.0
15218,Hayden Island,Theft From Motor Vehicle,45.61304232,-122.684901,7643071.0,717163.0
15219,Hayden Island,Theft of Motor Vehicle Parts or Accessories,45.61304232,-122.684901,7643071.0,717163.0
15220,Hayden Island,Theft From Motor Vehicle,45.61304232,-122.684901,7643071.0,717163.0
15221,Hayden Island,Theft From Motor Vehicle,45.61304232,-122.684901,7643071.0,717163.0
15222,Hayden Island,Theft From Building,45.61304232,-122.684901,7643071.0,717163.0
15223,Hayden Island,Shoplifting,45.61304232,-122.684901,7643071.0,717163.0
15224,Hayden Island,Theft of Motor Vehicle Parts or Accessories,45.61304232,-122.684901,7643071.0,717163.0
15225,Hayden Island,Theft of Motor Vehicle Parts or Accessories,45.61304232,-122.684901,7643071.0,717163.0
15226,Kenton,Theft From Motor Vehicle,45.58101072,-122.6843156,7642905.0,705484.0
15227,Kenton,Motor Vehicle Theft,45.58377732,-122.6844066,7642909.0,706493.0
15228,Kenton,Motor Vehicle Theft,45.58030005,-122.6843195,7642897.0,705225.0
15229,Eliot,Motor Vehicle Theft,45.53544638,-122.6646235,7647500.0,688741.0
15230,Eliot,Vandalism,45.53544638,-122.6646235,7647500.0,688741.0
15231,Irvington,Motor Vehicle Theft,45.53540983,-122.6556196,7649806.0,688666.0
15232,Irvington,Vandalism,45.53541217,-122.6554947,7649838.0,688666.0
15233,Irvington,Arson,45.53540692,-122.6546044,7650066.0,688658.0
15234,Irvington,Vandalism,45.53540073,-122.6524453,7650619.0,688641.0
15235,Irvington,Aggravated Assault,45.53539772,-122.6514341,7650878.0,688633.0
15236,Irvington,Robbery,45.53539221,-122.6495287,7651366.0,688618.0
15237,Irvington,Burglary,45.53539221,-122.6495287,7651366.0,688618.0
15238,Irvington,Robbery,45.53539221,-122.6495287,7651366.0,688618.0
15239,Irvington,Robbery,45.53539221,-122.6495287,7651366.0,688618.0
15240,Irvington,Theft From Motor Vehicle,45.53538165,-122.6467175,7652086.0,688595.0
15241,Grant Park,Motor Vehicle Theft,45.53547234,-122.6390575,7654049.0,688576.0
15242,Irvington,Burglary,45.53547002,-122.6391823,7654017.0,688576.0
15243,Grant Park,Motor Vehicle Theft,45.53547172,-122.6382064,7654267.0,688570.0
15244,Grant Park,Robbery,45.53546797,-122.6307263,7656183.0,688518.0
15245,Grant Park,Simple Assault,45.53546754,-122.6306014,7656215.0,688517.0
15246,Grant Park,Burglary,45.53546754,-122.6306014,7656215.0,688517.0
15247,Hollywood,Burglary,45.53563057,-122.6198561,7658969.0,688504.0
15248,Hollywood,Burglary,45.53562826,-122.6199809,7658937.0,688504.0
15249,Hollywood,Purse-Snatching,45.53563057,-122.6198561,7658969.0,688504.0
15250,Hollywood,Vandalism,45.53563057,-122.6198561,7658969.0,688504.0
15251,Hollywood,Burglary,45.53563057,-122.6198561,7658969.0,688504.0
15252,Hollywood,Theft From Motor Vehicle,45.53562826,-122.6199809,7658937.0,688504.0
15253,Hollywood,Vandalism,45.53562826,-122.6199809,7658937.0,688504.0
15254,Hollywood,Vandalism,45.53562826,-122.6199809,7658937.0,688504.0
15255,Hollywood,Theft of Motor Vehicle Parts or Accessories,45.53563057,-122.6198561,7658969.0,688504.0
15256,Hollywood,Vandalism,45.53563057,-122.6198561,7658969.0,688504.0
15257,Hollywood,Vandalism,45.53548174,-122.6188511,7659225.0,688443.0
15258,Hollywood,Burglary,45.53546876,-122.6168752,7659731.0,688425.0
15259,Hollywood,Motor Vehicle Theft,45.53546948,-122.6150482,7660199.0,688413.0
15260,Rose City Park,Motor Vehicle Theft,45.53546903,-122.6149233,7660231.0,688412.0
15261,Rose City Park,Motor Vehicle Theft,45.5354685,-122.6139082,7660491.0,688405.0
15262,Rose City Park,Motor Vehicle Theft,45.53546895,-122.6140332,7660459.0,688406.0
15263,Rose City Park,Vandalism,45.5354685,-122.6139082,7660491.0,688405.0
15264,Rose City Park,All Other Larceny,45.53546796,-122.6128932,7660751.0,688398.0
15265,Rose City Park,Theft From Motor Vehicle,45.53546741,-122.6118782,7661011.0,688391.0
15266,Rose City Park,Motor Vehicle Theft,45.53546628,-122.6098481,7661531.0,688377.0
15267,Rose City Park,Motor Vehicle Theft,45.53546571,-122.6088331,7661791.0,688370.0
15268,Rose City Park,All Other Larceny,45.53546498,-122.6069279,7662279.0,688357.0
15269,Rose City Park,Motor Vehicle Theft,45.53546164,-122.6059128,7662539.0,688349.0
15270,Rose City Park,Arson,45.53546164,-122.6059128,7662539.0,688349.0
15271,Rose City Park,Motor Vehicle Theft,45.53546164,-122.6059128,7662539.0,688349.0
15272,Rose City Park,Theft From Motor Vehicle,45.5353503,-122.6016534,7663629.0,688280.0
15273,Rose City Park,All Other Larceny,45.5353503,-122.6016534,7663629.0,688280.0
15274,Rose City Park,Burglary,45.53534984,-122.6015285,7663661.0,688279.0
15275,Rose City Park,Theft of Motor Vehicle Parts or Accessories,45.5353503,-122.6016534,7663629.0,688280.0
15276,Rose City Park,Theft From Motor Vehicle,45.53534645,-122.6005134,7663921.0,688271.0
15277,Rose City Park,Motor Vehicle Theft,45.53524061,-122.5986473,7664398.0,688220.0
15278,Rose City Park,Burglary,45.53522975,-122.5975889,7664669.0,688209.0
15279,Madison South,Aggravated Assault,45.5352149,-122.5950938,7665308.0,688187.0
15280,Madison South,All Other Larceny,45.53521444,-122.5949689,7665340.0,688186.0
15281,Madison South,Theft of Motor Vehicle Parts or Accessories,45.53517318,-122.5942217,7665531.0,688166.0
15282,Madison South,Burglary,45.53476147,-122.5684765,7672122.0,687846.0
15283,Woodland Park,Burglary,45.53542001,-122.5589985,7674556.0,688024.0
15284,Woodland Park,All Other Larceny,45.53542052,-122.5591234,7674524.0,688025.0
15285,Woodland Park,Identity Theft,45.53542001,-122.5589985,7674556.0,688024.0
15286,Woodland Park,Vandalism,45.5353101,-122.5580888,7674788.0,687978.0
15287,Parkrose Heights,Theft of Motor Vehicle Parts or Accessories,45.53530959,-122.5579639,7674820.0,687977.0
15288,Parkrose Heights,Motor Vehicle Theft,45.53516969,-122.5515175,7676470.0,687884.0
15289,Parkrose Heights,All Other Larceny,45.53516969,-122.5515175,7676470.0,687884.0
15290,Parkrose Heights,Credit Card/ATM Fraud,45.53526671,-122.5408285,7679209.0,687850.0
15291,Russell,Motor Vehicle Theft,45.53531361,-122.5375666,7680045.0,687846.0
15292,Russell,Aggravated Assault,45.53519946,-122.5344082,7680853.0,687784.0
15293,Russell,Motor Vehicle Theft,45.53519892,-122.5342833,7680885.0,687783.0
15294,Russell,Motor Vehicle Theft,45.53504449,-122.5332433,7681150.0,687720.0
15295,Russell,Theft From Motor Vehicle,45.53549806,-122.5204355,7684435.0,687803.0
15296,Wilkes,False Pretenses/Swindle/Confidence Game,45.53563507,-122.5049345,7688407.0,687754.0
15297,Wilkes,Simple Assault,45.53563564,-122.5050595,7688375.0,687755.0
15298,Wilkes,Theft From Motor Vehicle,45.53554436,-122.5013242,7689331.0,687698.0
15299,Wilkes,Theft From Motor Vehicle,45.53554105,-122.5011992,7689363.0,687696.0
15300,Vernon,Vandalism,45.55912559,-122.6472721,7652174.0,697253.0
15301,Vernon,Motor Vehicle Theft,45.55903778,-122.6472727,7652173.0,697221.0
15302,Vernon,Vandalism,45.55903778,-122.6472727,7652173.0,697221.0
15303,Vernon,Robbery,45.55912559,-122.6472721,7652174.0,697253.0
15304,Vernon,Identity Theft,45.55912559,-122.6472721,7652174.0,697253.0
15305,Vernon,Vandalism,45.55912559,-122.6472721,7652174.0,697253.0
15306,Woodland Park,Motor Vehicle Theft,45.53497401,-122.5603096,7674216.0,687870.0
15307,Woodland Park,Theft From Motor Vehicle,45.53489554,-122.5602482,7674231.0,687841.0
15308,Irvington,Arson,45.53507491,-122.6480098,7651752.0,688492.0
15309,Irvington,Simple Assault,45.53507491,-122.6480098,7651752.0,688492.0
15310,Sullivan's Gulch,Vandalism,45.53498711,-122.6480104,7651751.0,688460.0
15311,Sullivan's Gulch,Credit Card/ATM Fraud,45.53498711,-122.6480104,7651751.0,688460.0
15312,Sullivan's Gulch,Theft From Building,45.53498711,-122.6480104,7651751.0,688460.0
15313,Sullivan's Gulch,Weapons Law Violations,45.53498711,-122.6480104,7651751.0,688460.0
15314,Sullivan's Gulch,Arson,45.53498711,-122.6480104,7651751.0,688460.0
15315,Sullivan's Gulch,Vandalism,45.53498711,-122.6480104,7651751.0,688460.0
15316,Sullivan's Gulch,Theft of Motor Vehicle Parts or Accessories,45.53498711,-122.6480104,7651751.0,688460.0
15317,Woodlawn,Motor Vehicle Theft,45.57486488,-122.6474616,7652278.0,702991.0
15318,Sunderland,Motor Vehicle Theft,45.57742139,-122.6476365,7652258.0,703924.0
15319,Woodlawn,Vandalism,45.57716034,-122.6469234,7652438.0,703824.0
15320,Woodlawn,All Other Larceny,45.57182175,-122.647487,7652242.0,701882.0
15321,Sabin,Theft From Motor Vehicle,45.55640077,-122.647294,7652142.0,696260.0
15322,Sullivan's Gulch,Vandalism,45.53364806,-122.6480183,7651736.0,687972.0
15323,Sullivan's Gulch,Theft From Motor Vehicle,45.53356026,-122.6480188,7651735.0,687940.0
15324,Woodlawn,Motor Vehicle Theft,45.56907818,-122.6474848,7652216.0,700882.0
15325,Kerns,Motor Vehicle Theft,45.52788151,-122.6479875,7651688.0,685870.0
15326,Kerns,Theft From Motor Vehicle,45.52788151,-122.6479875,7651688.0,685870.0
15327,Kerns,All Other Larceny,45.52788151,-122.6479875,7651688.0,685870.0
15328,Woodlawn,Theft From Motor Vehicle,45.57122363,-122.6474878,7652236.0,701664.0
15329,Vernon,Motor Vehicle Theft,45.56266553,-122.6473826,7652180.0,698544.0
15330,Vernon,Vandalism,45.56275334,-122.6473821,7652181.0,698576.0
15331,Woodlawn,Vandalism,45.57044997,-122.6474859,7652229.0,701382.0
15332,Woodlawn,Motor Vehicle Theft,45.57579012,-122.6478678,7652183.0,703331.0
15333,Woodlawn,Burglary,45.57579012,-122.6478678,7652183.0,703331.0
15334,Woodlawn,Burglary,45.57579012,-122.6478678,7652183.0,703331.0
15335,Sullivan's Gulch,Vandalism,45.53140902,-122.6480311,7651711.0,687156.0
15336,Sullivan's Gulch,Motor Vehicle Theft,45.53140902,-122.6480311,7651711.0,687156.0
15337,Sullivan's Gulch,Motor Vehicle Theft,45.53140902,-122.6480311,7651711.0,687156.0
15338,Sullivan's Gulch,All Other Larceny,45.53140902,-122.6480311,7651711.0,687156.0
15339,Sullivan's Gulch,All Other Larceny,45.53140902,-122.6480311,7651711.0,687156.0
15340,Sullivan's Gulch,Vandalism,45.53140902,-122.6480311,7651711.0,687156.0
15341,Sabin,Motor Vehicle Theft,45.55540088,-122.6475061,7652078.0,695897.0
15342,Woodlawn,Motor Vehicle Theft,45.56976404,-122.6474873,7652222.0,701132.0
15343,Woodlawn,Burglary,45.56976404,-122.6474873,7652222.0,701132.0
15344,Irvington,Motor Vehicle Theft,45.53569779,-122.648006,7651759.0,688719.0
15345,Sabin,Motor Vehicle Theft,45.54521618,-122.6478196,7651899.0,692187.0
15346,Sabin,Theft From Building,45.55440581,-122.6477535,7652005.0,695536.0
15347,Sabin,False Pretenses/Swindle/Confidence Game,45.55440581,-122.6477535,7652005.0,695536.0
15348,Irvington,Theft of Motor Vehicle Parts or Accessories,45.5373984,-122.647883,7651807.0,689338.0
15349,Irvington,Burglary,45.5373984,-122.647883,7651807.0,689338.0
15350,Eliot,Theft From Motor Vehicle,45.5354492,-122.6656386,7647240.0,688749.0
15351,Sullivan's Gulch,Theft of Motor Vehicle Parts or Accessories,45.53427642,-122.6480147,7651743.0,688201.0
15352,Northwest,Theft From Motor Vehicle,45.53533853,-122.6877075,7641586.0,688861.0
15353,Northwest,Vandalism,45.53532188,-122.6887258,7641325.0,688862.0
15354,Northwest,Aggravated Assault,45.53513615,-122.6987441,7638757.0,688864.0
15355,Northwest,Vandalism,45.53513615,-122.6987441,7638757.0,688864.0
15356,Northwest,Weapons Law Violations,45.53513615,-122.6987441,7638757.0,688864.0
15357,Northwest,Simple Assault,45.53513376,-122.6988689,7638725.0,688864.0
15358,Northwest,Aggravated Assault,45.53513615,-122.6987441,7638757.0,688864.0
15359,Northwest,Vandalism,45.53513615,-122.6987441,7638757.0,688864.0
15360,Northwest,Aggravated Assault,45.53513615,-122.6987441,7638757.0,688864.0
15361,Northwest,Theft From Motor Vehicle,45.53513376,-122.6988689,7638725.0,688864.0
15362,Northwest,Motor Vehicle Theft,45.53509759,-122.7009015,7638204.0,688865.0
15363,Northwest,Vandalism,45.53509998,-122.7007767,7638236.0,688865.0
15364,Northwest,Theft of Motor Vehicle Parts or Accessories,45.53509759,-122.7009015,7638204.0,688865.0
15365,Northwest,All Other Larceny,45.53509998,-122.7007767,7638236.0,688865.0
15366,Northwest,Motor Vehicle Theft,45.52350477,-122.6887308,7641207.0,684555.0
15367,Northwest,All Other Larceny,45.52350477,-122.6887308,7641207.0,684555.0
15368,Northwest,Vandalism,45.52350477,-122.6887308,7641207.0,684555.0
15369,Northwest,Theft From Motor Vehicle,45.5242202,-122.6887662,7641205.0,684816.0
15370,Northwest,Theft of Motor Vehicle Parts or Accessories,45.52430793,-122.6887696,7641205.0,684848.0
15371,Northwest,Theft of Motor Vehicle Parts or Accessories,45.5242202,-122.6887662,7641205.0,684816.0
15372,Northwest,Motor Vehicle Theft,45.52502092,-122.6887893,7641207.0,685108.0
15373,Northwest,Motor Vehicle Theft,45.52493318,-122.6887859,7641207.0,685076.0
15374,Northwest,Burglary,45.52644658,-122.6888443,7641207.0,685628.0
15375,Northwest,Theft From Motor Vehicle,45.52635885,-122.6888409,7641207.0,685596.0
15376,Northwest,Burglary,45.52635885,-122.6888409,7641207.0,685596.0
15377,Northwest,Burglary,45.52644658,-122.6888443,7641207.0,685628.0
15378,Northwest,False Pretenses/Swindle/Confidence Game,45.52715949,-122.6888678,7641208.0,685888.0
15379,Northwest,False Pretenses/Swindle/Confidence Game,45.52707176,-122.6888645,7641208.0,685856.0
15380,Northwest,Motor Vehicle Theft,45.52787232,-122.6888953,7641208.0,686148.0
15381,Northwest,All Other Larceny,45.52787232,-122.6888953,7641208.0,686148.0
15382,Northwest,Burglary,45.52849742,-122.6889194,7641208.0,686376.0
15383,Northwest,Vandalism,45.52849742,-122.6889194,7641208.0,686376.0
15384,Northwest,Robbery,45.52929525,-122.6889502,7641208.0,686667.0
15385,Northwest,Motor Vehicle Theft,45.52929525,-122.6889502,7641208.0,686667.0
15386,Northwest,Stolen Property Offenses,45.52929525,-122.6889502,7641208.0,686667.0
15387,Northwest,Simple Assault,45.52929525,-122.6889502,7641208.0,686667.0
15388,Northwest,Theft From Motor Vehicle,45.52929525,-122.6889502,7641208.0,686667.0
15389,Northwest,Theft From Building,45.52929525,-122.6889502,7641208.0,686667.0
15390,Northwest,False Pretenses/Swindle/Confidence Game,45.52929525,-122.6889502,7641208.0,686667.0
15391,Northwest,Theft From Motor Vehicle,45.52929525,-122.6889502,7641208.0,686667.0
15392,Northwest,Theft From Motor Vehicle,45.52929525,-122.6889502,7641208.0,686667.0
15393,Northwest,Vandalism,45.52929525,-122.6889502,7641208.0,686667.0
15394,Northwest,Burglary,45.52992316,-122.6889705,7641209.0,686896.0
15395,Northwest,Arson,45.52992316,-122.6889705,7641209.0,686896.0
15396,Northwest,Vandalism,45.52992316,-122.6889705,7641209.0,686896.0
15397,Northwest,Vandalism,45.52992316,-122.6889705,7641209.0,686896.0
15398,Northwest,Theft From Motor Vehicle,45.52992316,-122.6889705,7641209.0,686896.0
15399,Northwest,Vandalism,45.53001089,-122.6889739,7641209.0,686928.0
15400,Northwest,Vandalism,45.53063599,-122.688998,7641209.0,687156.0
15401,Northwest,Vandalism,45.53063599,-122.688998,7641209.0,687156.0
15402,Northwest,Theft From Motor Vehicle,45.53419756,-122.6891275,7641211.0,688455.0
15403,Northwest,Counterfeiting/Forgery,45.53419756,-122.6891275,7641211.0,688455.0
15404,Northwest,Theft From Motor Vehicle,45.53419756,-122.6891275,7641211.0,688455.0
15405,Northwest,Burglary,45.53891848,-122.6891768,7641245.0,690176.0
15406,Northwest,All Other Larceny,45.53891848,-122.6891768,7641245.0,690176.0
15407,Northwest Heights,Aggravated Assault,45.53477288,-122.7580905,7623552.0,689151.0
15408,Northwest,Vandalism,45.53571369,-122.689186,7641211.0,689008.0
15409,Downtown,Theft From Motor Vehicle,45.51026007,-122.6754912,7644469.0,679636.0
15410,Downtown,Theft From Motor Vehicle,45.51026007,-122.6754912,7644469.0,679636.0
15411,Downtown,Simple Assault,45.51011303,-122.6751422,7644557.0,679580.0
15412,Downtown,Pornography/Obscene Material,45.51011303,-122.6751422,7644557.0,679580.0
15413,Downtown,Theft From Motor Vehicle,45.51011303,-122.6751422,7644557.0,679580.0
15414,Downtown,All Other Larceny,45.51011303,-122.6751422,7644557.0,679580.0
15415,Downtown,All Other Larceny,45.51011303,-122.6751422,7644557.0,679580.0
